,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,polarity
873,1309834767223926785,1309834767223926785,2020-09-26 12:38:38 UTC,2020-09-26,12:38:38,0,66324459,__lewica,Lewica,,#LewicaWMediach: dziś o 20.13 @KotulaKat w #Minela20 #M20 w @tvp_info https://t.co/c9XYyoQ9KY,pl,"[{'screen_name': 'kotulakat', 'name': 'katarzyna kotula', 'id': '3889514427'}, {'screen_name': 'tvp_info', 'name': 'portal tvp.info 🇵🇱', 'id': '47295451'}]",[],['https://pbs.twimg.com/media/Ei13xwTX0AIKqWh.jpg'],0,3,13,"['lewicawmediach', 'minela20', 'm20']",[],https://twitter.com/__Lewica/status/1309834767223926785,False,0,1,https://pbs.twimg.com/media/Ei13xwTX0AIKqWh.jpg,,,,,,,[],,,,,0.0
874,1309834425887346689,1309834425887346689,2020-09-26 12:37:17 UTC,2020-09-26,12:37:17,0,66324459,__lewica,Lewica,,#LewicaWMediach: dziś o 21.50 w #StudioPolska na antenie @tvp_info prof. @Joanna_Senyszyn oraz mec. @AndrzejSzejna. https://t.co/IMb799N1pf,pl,"[{'screen_name': 'tvp_info', 'name': 'portal tvp.info 🇵🇱', 'id': '47295451'}, {'screen_name': 'joanna_senyszyn', 'name': 'joanna senyszyn', 'id': '135122873'}, {'screen_name': 'andrzejszejna', 'name': 'mec. andrzej szejna', 'id': '1108989641359790082'}]",[],"['https://pbs.twimg.com/media/Ei13d2RWoAAejty.jpg', 'https://pbs.twimg.com/media/Ei13d2LX0AoXZbL.jpg']",1,5,13,"['lewicawmediach', 'studiopolska']",[],https://twitter.com/__Lewica/status/1309834425887346689,False,0,1,https://pbs.twimg.com/media/Ei13d2RWoAAejty.jpg,,,,,,,[],,,,,0.0
875,1309833825229430790,1309833825229430790,2020-09-26 12:34:54 UTC,2020-09-26,12:34:54,0,66324459,__lewica,Lewica,,"RT @AM_Zukowska: Rok temu: „Krótko mówiąc będzie trzeba wyjaśnić, skąd się ma majątek, bo to nie w każdym wypadku jest zupełnie jasne”
— po…",pl,"[{'screen_name': 'am_zukowska', 'name': 'anna-maria żukowska 💁🏻\u200d♀️ #lewica ↙️↙️↙️🏳️\u200d🌈☮️', 'id': '941899796'}]",[],[],0,10,0,[],[],https://twitter.com/__Lewica/status/1309833825229430790,True,https://twitter.com/k_swislowski/status/1309822306810843136,0,,,,,941899796.0,"Rok temu: „Krótko mówiąc będzie trzeba wyjaśnić, skąd się ma majątek, bo to nie w każdym wypadku jest zupełnie jasne”
— podkreślił Kaczyński.

Dziś ⤵️",1.3098304591494267e+18,[],2020-09-26 12:21:31 UTC,,,,1.0
876,1309833737497194496,1309833737497194496,2020-09-26 12:34:33 UTC,2020-09-26,12:34:33,0,66324459,__lewica,Lewica,,"RT @FalejMonika: Warmińsko-Mazurski #KongresLewicy w Olsztynie ✌️Trwa panel „Edukacja przyszłości”, który mam przyjemność prowadzić. Wśród…",pl,"[{'screen_name': 'falejmonika', 'name': 'monika falej', 'id': '2860103476'}]",[],[],0,12,0,['kongreslewicy'],[],https://twitter.com/__Lewica/status/1309833737497194496,True,0,0,,,,,2860103476.0,"Warmińsko-Mazurski #KongresLewicy w Olsztynie ✌️Trwa panel „Edukacja przyszłości”, który mam przyjemność prowadzić. Wśród rozmówczyń https://t.co/hOXDU7YFt3. @GabrielaMorStan https://t.co/G8MvMlBfzo",1.309828421711782e+18,[],2020-09-26 12:13:25 UTC,,,,1.0
877,1309821641992568832,1309821641992568832,2020-09-26 11:46:29 UTC,2020-09-26,11:46:29,0,66324459,__lewica,Lewica,,RT @BGrucela: .@PolaMatysiak kongres lewicy w Olsztynie. O kuriozalnych propozycjach w prezydenckim programie przystankowym i przywróceniu…,pl,"[{'screen_name': 'bgrucela', 'name': 'bartosz grucela #kościuszkocrew', 'id': '951925601887285249'}, {'screen_name': 'polamatysiak', 'name': 'paulina matysiak', 'id': '1139785801'}]",[],[],0,10,0,[],[],https://twitter.com/__Lewica/status/1309821641992568832,True,0,0,,,,,9.519256018872852e+17,.@PolaMatysiak kongres lewicy w Olsztynie. O kuriozalnych propozycjach w prezydenckim programie przystankowym i przywróceniu zlikwidowanego rok temu przystanku w Karwicy Mazurskiej oraz o potrzebie przywrócenia połączeń na linii🚂 Czerwonka-Ełk. #kongres #lewica https://t.co/3agewCsd6D,1.3097985110645146e+18,[],2020-09-26 10:14:34 UTC,,,,0.0
878,1309819601589477376,1309819601589477376,2020-09-26 11:38:22 UTC,2020-09-26,11:38:22,0,66324459,__lewica,Lewica,,KONGRES PROGRAMOWY LEWICY - WARMIŃSKO-MAZURSKIE CZ. 2 https://t.co/XA3INquPLN,pl,[],['https://www.pscp.tv/w/cj3OLjM1ODMxMHwxeW9LTVh6d1FQZXhRuEU0psXA0BGJYUREp34IP1yEHshQ-XnTEBSlW_5ElgU='],[],0,13,32,[],[],https://twitter.com/__Lewica/status/1309819601589477376,False,0,0,,,,,,,,[],,,,,0.0
879,1309817854657781760,1309817854657781760,2020-09-26 11:31:26 UTC,2020-09-26,11:31:26,0,66324459,__lewica,Lewica,,"RT @KGawkowski: Rzad PiS to nie rząd, tylko samorząd - zajmuje się tylko rządzeniem samym sobą.",pl,"[{'screen_name': 'kgawkowski', 'name': 'krzysztof gawkowski', 'id': '190298914'}]",[],[],0,5,0,[],[],https://twitter.com/__Lewica/status/1309817854657781760,True,0,0,,,,,190298914.0,"Rzad PiS to nie rząd, tylko samorząd - zajmuje się tylko rządzeniem samym sobą.",1.3098168109010657e+18,[],2020-09-26 11:27:17 UTC,,,,0.0
880,1309817846898348033,1309817846898348033,2020-09-26 11:31:24 UTC,2020-09-26,11:31:24,0,66324459,__lewica,Lewica,,"RT @KGawkowski: Miesiąc przepychanek i kilka minut konferencji. #zjednoczonaprawica pokazała, że cała gra szła o stołki!",pl,"[{'screen_name': 'kgawkowski', 'name': 'krzysztof gawkowski', 'id': '190298914'}]",[],[],0,4,0,['zjednoczonaprawica'],[],https://twitter.com/__Lewica/status/1309817846898348033,True,0,0,,,,,190298914.0,"Miesiąc przepychanek i kilka minut konferencji. #zjednoczonaprawica pokazała, że cała gra szła o stołki!",1.309809716936274e+18,[],2020-09-26 10:59:06 UTC,,,,0.0
881,1309795118233387008,1309795118233387008,2020-09-26 10:01:05 UTC,2020-09-26,10:01:05,0,66324459,__lewica,Lewica,,"Warmińsko-mazurski #KongresLewicy.

Jak ma wyglądać Polska po pandemii? Obejrzeć panel możecie m. in. tutaj: https://t.co/CUaYfh8lBn https://t.co/xC5cUV3Pi8",pl,[],['https://www.facebook.com/KomitetLewicy/videos/340694216986558'],"['https://pbs.twimg.com/media/Ei1TLJuWAAAaYyw.jpg', 'https://pbs.twimg.com/media/Ei1TLJnWAAEBxev.jpg', 'https://pbs.twimg.com/media/Ei1TLJnXkAEDJTJ.jpg', 'https://pbs.twimg.com/media/Ei1TLKFWoAIhAKg.jpg']",0,13,33,['kongreslewicy'],[],https://twitter.com/__Lewica/status/1309795118233387008,False,0,1,https://pbs.twimg.com/media/Ei1TLJuWAAAaYyw.jpg,,,,,,,[],,,,,0.0
882,1309790777946632192,1309790777946632192,2020-09-26 09:43:50 UTC,2020-09-26,09:43:50,0,66324459,__lewica,Lewica,,RT @__Lewica: KONGRES PROGRAMOWY LEWICY - WARMIŃSKO-MAZURSKIE CZ. 1 https://t.co/4qvS2BzGKX,pl,"[{'screen_name': '__lewica', 'name': 'lewica', 'id': '66324459'}]",['https://www.pscp.tv/w/cj2rNDM1ODMxMHwxTHl4QmFMcVJEa0pOhgbDMPA80IJZrufYv8pcJIQlaqfgzt-TlVfIwoSrrTE='],[],0,12,0,[],[],https://twitter.com/__Lewica/status/1309790777946632192,True,0,0,,,,,66324459.0,KONGRES PROGRAMOWY LEWICY - WARMIŃSKO-MAZURSKIE CZ. 1 https://t.co/4qvS2BzGKX,1.30978204378658e+18,[],2020-09-26 09:09:08 UTC,,,,0.0
